# Papervale Trees — AI-Readable Product Catalogue
# Northern Ireland's first UKISG Certified tree nursery
# 48 Old Newry Road, Rathfriland, Co. Down, BT34 5BQ
# Tel: 028 3085 0059 | Email: info@papervaletrees.com
# Delivering throughout the UK & Ireland | 2-3 Day Tracked Delivery
# EU Plant Passport: UK/NI 8943 | VAT Reg No. 326849373
# Last updated: June 2026

## About
Papervale Trees is Northern Ireland's first UKISG Certified tree nursery, supplying over 300 varieties
of home-grown, fully traceable trees to home gardeners, landscape architects, and commercial contractors
across the UK and Ireland. Container-grown stock available all year round. Bareroot/rootball November–March.

## Shop
URL: https://www.papervaletrees.com/shop.html
Availability list: https://www.papervaletrees.com/availability.html

## Product Catalogue (758 lines, 430 species pages)
Format: Code | Latin Name | Common Name | Pot Size | Height | Price (inc. VAT) | Stock
  16346 | ACER davidii | Snakebark Maple | 5Ltr | 100-125cm | £34.50 | Stock: 5
  15638 | ACER davidii | Snakebark Maple | 12Ltr | 200-250cm | £70.00 | Stock: 17
  10893 | ACER davidii | Snakebark Maple | 12Ltr | 300-350cm | £95.00 | Stock: 1
  11694 | ACER davidii | Snakebark Maple | 30Ltr | 200-250cm | £185.00 | Stock: 2
  13993 | ACER freemanii 'Armstrong' | Scarlet Maple | 50Ltr | 500-600cm | £265.00 | Stock: 4
  11727 | ACER freemanii 'Armstrong' | Scarlet Maple | 50Ltr | 600-700cm | £295.00 | Stock: 3
  12846 | ACER freemanii 'Autumn Blaze' | Maple | 3Ltr | 90-120cm | £25.50 | Stock: 22
  15751 | ACER freemanii 'Autumn Blaze' | Maple | 5Ltr | 140-160cm | £34.50 | Stock: 25
  12311 | ACER freemanii 'Autumn Blaze' | Maple | 5Ltr | 150-200cm | £36.00 | Stock: 2
  12310 | ACER freemanii 'Autumn Blaze' | Maple | 12Ltr | 250-300cm | £65.00 | Stock: 13
  11778 | ACER freemanii 'Autumn Blaze' | Maple | 20Ltr | 350-400cm | £95.00 | Stock: 10
  13785 | ACER freemanii 'Autumn Blaze' | Maple | 35Ltr | 450-500cm | £165.00 | Stock: 8
  13916 | ACER freemanii 'Autumn Blaze' | Maple | 50Ltr | 500-600cm | £245.00 | Stock: 2
  13187 | ACER freemanii 'Celebration' | Scarlet Maple | 5Ltr | 90-120cm | £28.50 | Stock: 10
  11165 | ACER freemanii 'Celebration' | Scarlet Maple | 90Ltr | 600-700cm | £395.00 | Stock: 4
  1624 | ACER ginnala | Amur Maple | 5Ltr | 75-100cm | £28.50 | Stock: 1
  15752 | ACER ginnala | Amur Maple | 5Ltr | 100-125cm | £34.50 | Stock: 1
  11833 | ACER griseum | Paperbark Maple | 7.5Ltr | 150-175cm | £65.00 | Stock: 2
  16210 | ACER griseum | Paperbark Maple | 20Ltr | 100-125cm | £75.00 | Stock: 19
  16347 | ACER griseum | Paperbark Maple | 7.5Ltr | 200-250cm | £95.00 | Stock: 1
  1119 | ACER monspessulanum | Montpelier maple | 12Ltr | 175-200cm | £55.00 | Stock: 6
  10783 | ACER negundo 'Flamingo' | Box Elder | 3Ltr | 150-175cm | £28.50 | Stock: 1
  15753 | ACER negundo 'Flamingo' | Box Elder | 5Ltr | 90-120cm | £31.50 | Stock: 15
  16313 | ACER negundo 'Flamingo' | Box Elder | 12Ltr | 200-250cm | £48.00 | Stock: 5
  12848 | ACER 'Pacific Sunset' | Norway Maple | 3Ltr | 100-125cm | £25.50 | Stock: 21
  1121 | ACER palmatum | Japanese Maple | 3Ltr | 90-120cm | £28.50 | Stock: 2
  16345 | ACER palmatum | Japanese Maple | 5Ltr | 75-100cm | £34.50 | Stock: 30
  15755 | ACER palmatum 'Bloodgood' | Japanese Maple | 3Ltr | 50-75cm | £28.50 | Stock: 18
  15759 | ACER palmatum 'Fireglow' | Dwarf Japanese Maple | 3Ltr | 50-75cm | £28.50 | Stock: 10
  15760 | ACER palmatum 'Orange Dream' | Japanese Maple | 3Ltr | 75-100cm | £28.50 | Stock: 6
  12333 | ACER palmatum 'Aureum' | Japanese Maple | 7.5Ltr | 90-120cm | £42.00 | Stock: 18
  15757 | ACER palmatum 'Crimson Queen' | Japanese Maple | 3Ltr | 50-75cm | £28.50 | Stock: 10
  15761 | ACER palmatum 'Skeeter's Broom' | Japanese Maple | 3Ltr | 50-75cm | £28.50 | Stock: 7
  16333 | ACER plat. | Norway Maple | 5Ltr | 250-300cm | £45.00 | Stock: 2
  11613 | ACER plat. | Norway Maple | 20Ltr | 250-300cm | £70.00 | Stock: 7
  13205 | ACER plat. | Norway Maple | 35Ltr | 350-400cm | £135.00 | Stock: 2
  13192 | ACER plat. | Norway Maple | 50Ltr | 400-450cm | £195.00 | Stock: 2
  10950 | ACER plat. | Norway Maple | 70Ltr | 450-500cm | £295.00 | Stock: 1
  13193 | ACER plat. | Norway Maple | 90Ltr | 450-500cm | £360.00 | Stock: 1
  1175 | ACER plat. 'Columnare' | Upright Norway Maple | 20Ltr | 250-300cm | £95.00 | Stock: 16
  12414 | ACER plat. 'Columnare' | Upright Norway Maple | 70Ltr | 450-500cm | £295.00 | Stock: 6
  10960 | ACER plat. 'Columnare' | Upright Norway Maple | 130Ltr | 500-600cm | £575.00 | Stock: 1
  12372 | ACER plat. 'Crimson King' | Purple Norway Maple | 2Ltr | 125-150cm | £28.50 | Stock: 10
  16308 | ACER plat. 'Crimson King' | Purple Norway Maple | 12Ltr | 200-250cm | £55.00 | Stock: 14
  12143 | ACER plat. 'Crimson Sentry' | Norway Maple | 35Ltr | 300-350cm | £215.00 | Stock: 1
  10938 | ACER plat. 'Deborah' | Norway Maple | 50Ltr | 450-500cm | £295.00 | Stock: 3
  1182 | ACER plat. 'Drummondii' | Norway Maple | 20Ltr | 300-350cm | £95.00 | Stock: 2
  15736 | ACER plat. 'Drummondii' | Norway Maple | 25Ltr | 300-350cm | £95.00 | Stock: 5
  11195 | ACER plat. 'Drummondii' | Norway Maple | 35Ltr | 350-400cm | £175.00 | Stock: 1
  12415 | ACER plat. 'Drummondii' | Norway Maple | 35Ltr | 400-450cm | £215.00 | Stock: 1
  15738 | ACER plat. 'Lorbergii' | Norway Maple | 25Ltr | 250-300cm | £115.00 | Stock: 8
  12331 | ACER plat. 'Princeton Gold' | Golden Norway Maple | 20Ltr | 250-300cm | £75.00 | Stock: 25
  10536 | ACER plat. 'Princeton Gold' | Golden Norway Maple | 35Ltr | 400-450cm | £190.00 | Stock: 1
  12299 | ACER plat. 'Royal Red' | Norway Maple | 12Ltr | 200-250cm | £55.00 | Stock: 9
  16257 | ACER pseudoplatanus | Sycamore | 5Ltr | 125-150cm | £28.00 | Stock: 28
  13918 | ACER pseudoplatanus | Sycamore | 25Ltr | 350-400cm | £125.00 | Stock: 3
  16282 | ACER pseudoplatanus | Sycamore | 35Ltr | 450-500cm | £155.00 | Stock: 4
  11834 | ACER pseudoplatanus 'Leopoldii' | Variegated Sycamore | 7.5Ltr | 125-150cm | £38.50 | Stock: 2
  15633 | ACER pseudoplatanus 'Spaethii' | Spaethii Sycamore | 12Ltr | 250-300cm | £70.00 | Stock: 5
  13185 | ACER pseudoplatanus 'Spaethii' | Spaethii Sycamore | 50Ltr | 400-450cm | £195.00 | Stock: 1
  16401 | ACER pseudoplatanus 'Spaethii' | Spaethii Sycamore | 70Ltr | 400-500cm | £345.00 | Stock: 1
  11603 | ACER rubrum 'Fairview Flame' | Canadian Red Maple | 20Ltr | 350-400cm | £120.00 | Stock: 10
  16217 | ACER rubrum 'October Glory' | Canadian Red Maple | 5Ltr | 75-100cm | £28.50 | Stock: 25
  11837 | ACER rubrum 'October Glory' | Canadian Red Maple | 5Ltr | 175-200cm | £34.50 | Stock: 16
  11602 | ACER rubrum 'October Glory' | Canadian Red Maple | 7.5Ltr | 250-300cm | £70.00 | Stock: 2
  16336 | ACER rubrum 'Red Sunset' | Canadian Red Maple | 25Ltr | 350-400cm | £140.00 | Stock: 1
  11574 | ACER rubrum 'Red Sunset' | Canadian Red Maple | 90Ltr | 500-600cm | £395.00 | Stock: 1
  15636 | ACER rubrum 'Sun Valley' | Canadian Red Maple | 12Ltr | 250-300cm | £70.00 | Stock: 1
  1070 | ACER rubrum 'Sun Valley' | Canadian Red Maple | 35Ltr | 400-500cm | £195.00 | Stock: 3
  10086 | ACER saccharinum 'Born's Gracious' | Silver Maple | 12Ltr | 250-300cm | £75.00 | Stock: 6
  13923 | ACER saccharinum 'Born's Gracious' | Silver Maple | 50Ltr | 400-450cm | £155.00 | Stock: 4
  12849 | ACER saccharinum Pyramidale | Silver Maple | 5Ltr | 125-150cm | £31.50 | Stock: 25
  15632 | ACER saccharinum Pyramidale | Silver Maple | 25Ltr | 300-350cm | £115.00 | Stock: 2
  13924 | ACER saccharinum Pyramidale | Silver Maple | 35Ltr | 450-500cm | £165.00 | Stock: 4
  13925 | ACER saccharinum Pyramidale | Silver Maple | 50Ltr | 500-600cm | £245.00 | Stock: 1

### AESCULUS
  16266 | AESCULUS hippocastanum | Horse Chestnut | 3Ltr | 60-90cm | £24.00 | Stock: 38
  11693 | AESCULUS hippocastanum | Horse Chestnut | 3Ltr | 125-150cm | £25.50 | Stock: 12
  16307 | AESCULUS hippocastanum | Horse Chestnut | 12Ltr | 200-225cm | £55.00 | Stock: 8
  11059 | AESCULUS hippocastanum 'Laciniata' | Cut Leaf Horse Chestnut | 7.5Ltr | 75-100cm | £45.00 | Stock: 4
  11773 | AESCULUS indica | Indian Horse Chestnut | 3Ltr | 125-150cm | £28.50 | Stock: 12
  15762 | AESCULUS x carnea 'Briotii' | Red Horse Chestnut | 5Ltr | 90-120cm | £31.50 | Stock: 18
  16266 | AESCULUS hippocastanum | Horse Chestnut | 3Ltr | 60-90cm | £24.00 | Stock: 38

### AILANTHUS
  15720 | AILANTHUS altissima | Tree of Heaven | 3Ltr | 100-125cm | £28.50 | Stock: 1

### ALBIZIA
  11715 | ALBIZIA julibrissin | Silk Tree | 1Ltr | 20-40cm | £12.00 | Stock: 20
  1071 | ALBIZIA julibrissin | Silk Tree | 3Ltr | 60-90cm | £25.50 | Stock: 5

### ALNUS
  16295 | ALNUS cordata | Italian Alder | 5Ltr | 125-150cm | £25.50 | Stock: 1
  14005 | ALNUS cordata | Italian Alder | 35Ltr | 400-450cm | £160.00 | Stock: 3
  11706 | ALNUS glutinosa | Common Alder | 3Ltr | 100-125cm | £18.00 | Stock: 13
  16285 | ALNUS glutinosa | Common Alder | 25Ltr | 450-500cm | £135.00 | Stock: 12
  11496 | ALNUS glutinosa 'Imperialis' | Cut-Leaf Alder | 5Ltr | 200-250cm | £37.50 | Stock: 1
  14414 | ALNUS glutinosa 'Imperialis' | Cut-Leaf Alder | 5Ltr | 250-300cm | £65.00 | Stock: 1
  11604 | ALNUS glutinosa 'Imperialis' | Cut-Leaf Alder | 12Ltr | 300-350cm | £95.00 | Stock: 1
  11532 | ALNUS glutinosa 'Imperialis' | Cut-Leaf Alder | 20Ltr | 350-400cm | £120.00 | Stock: 1
  14007 | ALNUS glutinosa 'Imperialis' | Cut-Leaf Alder | 30Ltr | 450-500cm | £235.00 | Stock: 2
  14415 | ALNUS glutinosa 'Aurea' | Golden Alder | 7.5Ltr | 250-300cm | £70.00 | Stock: 1
  15763 | ALNUS glutinosa 'Laciniata' | Cut-leaved Common Alder | 3Ltr | 100-125cm | £25.50 | Stock: 12
  11494 | ALNUS glutinosa 'Laciniata' | Cut-leaved Common Alder | 12Ltr | 250-300cm | £90.00 | Stock: 1
  12519 | ALNUS incana 'Aurea' | Golden Alder | 5Ltr | 140-160cm | £34.50 | Stock: 10
  15764 | ALNUS x spaethii | Spaeth's Alder | 5Ltr | 100-125cm | £28.50 | Stock: 25
  11084 | ALNUS x spaethii | Spaeth's Alder | 35Ltr | 350-400cm | £155.00 | Stock: 10

### AMELANCHIER
  15765 | AMELANCHIER alnifolia 'Obelisk' | Snowy Mespilus | 3Ltr | 90-120cm | £31.50 | Stock: 24
  1073 | AMELANCHIER alnifolia 'Obelisk' | Snowy Mespilus | 3Ltr | 125-150cm | £34.50 | Stock: 4
  10413 | AMELANCHIER canadensis | Serviceberry | 12Ltr | 250-300cm | £60.00 | Stock: 4
  16228 | AMELANCHIER canadensis 'Prince William' | Canadian Serviceberry | 3Ltr | 75-100cm | £25.50 | Stock: 28
  12504 | AMELANCHIER lamarckii | Snowy Mespilus | 3Ltr | 75-100cm | £28.50 | Stock: 25
  16272 | AMELANCHIER lamarckii | Snowy Mespilus | 5Ltr | 125-150cm | £31.50 | Stock: 88
  11522 | AMELANCHIER lamarckii | Snowy Mespilus | 7.5Ltr | 250-300cm | £75.00 | Stock: 8
  15654 | AMELANCHIER lamarckii | Snowy Mespilus | 20Ltr | 250-300cm | £85.00 | Stock: 3
  11523 | AMELANCHIER lamarckii | Snowy Mespilus | 12Ltr | 300-350cm | £110.00 | Stock: 3
  13927 | AMELANCHIER lamarckii | Snowy Mespilus | 35Ltr | 300-350cm | £160.00 | Stock: 1
  12517 | AMELANCHIER lamarckii | Snowy Mespilus [m/s] | 5Ltr | 100-125cm | £42.00 | Stock: 49
  10815 | AMELANCHIER lamarckii | Snowy Mespilus [m/s] | 12Ltr | 140-160cm | £55.00 | Stock: 11
  11840 | AMELANCHIER 'Robin Hill' | Juneberry | 7.5Ltr | 140-160cm | £34.50 | Stock: 16
  11065 | AMELANCHIER 'Robin Hill' | Juneberry | 12Ltr | 200-225cm | £60.00 | Stock: 10
  15655 | AMELANCHIER 'Robin Hill' | Juneberry | 25Ltr | 250-300cm | £95.00 | Stock: 1

### ARALIA
  11668 | ARALIA elata | Angelica Tree | 3Ltr | 125-150cm | £28.50 | Stock: 16
  10891 | ARALIA elata | Angelica Tree | 50Ltr | 250-300cm | £165.00 | Stock: 11
  11667 | ARALIA elata | Angelica Tree | 35Ltr | 200-300cm | £165.00 | Stock: 8

### ARBUTUS
  1103 | ARBUTUS unedo | Killarney Strawberry Tree | 3Ltr | 50-75cm | £25.50 | Stock: 40
  12583 | ARBUTUS unedo | Killarney Strawberry Tree | 5Ltr | 175-200cm | £55.00 | Stock: 5
  11690 | ARBUTUS unedo | Killarney Strawberry Tree | 20Ltr | 120-150cm | £95.00 | Stock: 4

### BAMBOO
  10092 | BAMBOO pseudosasa 'Japonica' | Bamboo | 20Ltr | 140-160cm | £60.00 | Stock: 5

### BETULA
  11238 | BETULA albosinensis 'Fascination' | Chinese Red Birch | 12Ltr | 300-350cm | £95.00 | Stock: 7
  13942 | BETULA albosinensis 'Fascination' | Chinese Red Birch | 50Ltr | 350-400cm | £170.00 | Stock: 2
  1229 | BETULA albosinensis septentrionalis | Chinese Red Birch | 12Ltr | 250-300cm | £75.00 | Stock: 27
  14351 | BETULA ermanii | Erman's Birch | 1Ltr | 60-90cm | £6.50 | Stock: 6
  11717 | BETULA ermanii | Erman's Birch | 3Ltr | 75-100cm | £18.00 | Stock: 29
  16219 | BETULA nigra | River Birch | 3Ltr | 90-120cm | £25.50 | Stock: 35
  16258 | BETULA papyrifera | Paper Birch | 5Ltr | 125-150cm | £28.50 | Stock: 75
  10809 | BETULA papyrifera | Paper Birch [m/s] | 90Ltr | 350-400cm | £285.00 | Stock: 8
  10785 | BETULA pendula | Silver Birch | 3Ltr | 175-200cm | £22.50 | Stock: 3
  16302 | BETULA pendula | Silver Birch | 7.5Ltr | 150-175cm | £34.50 | Stock: 11
  11810 | BETULA pendula | Silver Birch | 35Ltr | 450-500cm | £160.00 | Stock: 29
  13946 | BETULA pendula | Silver Birch | 70Ltr | 500-550cm | £230.00 | Stock: 13
  16262 | BETULA pendula | Silver Birch | 90Ltr | 500-550cm | £270.00 | Stock: 13
  16339 | BETULA pendula | Silver Birch | 90Ltr | 550-600cm | £295.00 | Stock: 6
  16261 | BETULA pendula | Silver Birch | 90Ltr | 600-700cm | £325.00 | Stock: 1
  16338 | BETULA pendula | Silver Birch | 230Ltr | 500-600cm | £470.00 | Stock: 1
  13182 | BETULA pendula | Silver Birch [m/s] | 350Ltr | 500-600cm | £625.00 | Stock: 1
  11562 | BETULA pendula | Silver Birch [m/s] | 350Ltr | 600-700cm | £750.00 | Stock: 2
  11841 | BETULA pendula 'Tristis' | Weeping Silver Birch | 12Ltr | 250-300cm | £60.00 | Stock: 8
  1124 | BETULA pendula 'Fastigiata' | Upright Silver Birch | 3Ltr | 100-125cm | £28.50 | Stock: 20
  10808 | BETULA pendula 'Fastigiata' | Upright Silver Birch | 12Ltr | 150-175cm | £45.00 | Stock: 11
  16106 | BETULA pendula 'Fastigiata Joes' | Silver Birch | 3Ltr | 90-120cm | £28.50 | Stock: 20
  11750 | BETULA pendula 'Fastigiata Joes' | Silver Birch | 20Ltr | 350-400cm | £110.00 | Stock: 31
  12335 | BETULA pendula 'Youngii' | Young's Weeping Birch | 3Ltr | 125-150cm | £28.50 | Stock: 4
  13045 | BETULA pendula 'Youngii' | Young's Weeping Birch | 5Ltr | 150-175cm | £37.50 | Stock: 30
  1260 | BETULA pendula 'Youngii' | Young's Weeping Birch | 12Ltr | 200-250cm | £65.00 | Stock: 3
  13053 | BETULA pubescens | Downy Birch | 3Ltr | 75-100cm | £18.00 | Stock: 1
  13054 | BETULA pubescens | Downy Birch | 3Ltr | 120-140cm | £25.50 | Stock: 1
  16296 | BETULA pubescens | Downy Birch | 5Ltr | 125-150cm | £28.50 | Stock: 16
  15620 | BETULA pubescens | Downy Birch | 12Ltr | 250-300cm | £70.00 | Stock: 7
  14455 | BETULA pubescens | Downy Birch | 25Ltr | 400-500cm | £110.00 | Stock: 6
  11746 | BETULA pubescens | Downy Birch [shrub] | 25Ltr | 200-250cm | £90.00 | Stock: 1
  15768 | BETULA utilis 'Doorenbos' | Himalayan Birch | 3Ltr | 75-100cm | £25.50 | Stock: 15
  12374 | BETULA utilis 'Doorenbos' | Himalayan Birch | 3Ltr | 150-175cm | £28.50 | Stock: 5
  12489 | BETULA utilis 'Doorenbos' | Himalayan Birch [m/s] | 3Ltr | 90-120cm | £34.50 | Stock: 1
  16277 | BETULA utilis 'Doorenbos' | Himalayan Birch [m/s] | 110Ltr | 300-350cm | £425.00 | Stock: 3
  11843 | BETULA utilis 'Edinburgh' | Himalayan Birch | 5Ltr | 175-200cm | £31.50 | Stock: 6
  15628 | BETULA utilis 'Edinburgh' | Himalayan Birch | 25Ltr | 300-350cm | £135.00 | Stock: 7
  1265 | BETULA utilis jacquemontii | Himalayan Birch | 7.5Ltr | 200-250cm | £48.00 | Stock: 36
  13046 | BETULA utilis jacquemontii | Himalayan Birch [feathered] | 12Ltr | 150-200cm | £65.00 | Stock: 12
  10802 | BETULA utilis jacquemontii | Himalayan Birch [m/s] | 5Ltr | 125-150cm | £37.50 | Stock: 2
  11871 | BETULA utilis 'Nepalese Orange' | Himalayan Birch | 5Ltr | 200-250cm | £48.00 | Stock: 7

### CARPINUS
  12207 | CARPINUS bet. 'Lucas' | Fastigate Hornbeam [feathered] | 130Ltr | 400-500cm | £425.00 | Stock: 1
  15769 | CARPINUS bet. 'Fastigiata' | Upright Hornbeam | 3Ltr | 100-125cm | £28.50 | Stock: 24
  11626 | CARPINUS bet. 'Fastigiata' | Upright Hornbeam | 5Ltr | 150-200cm | £34.50 | Stock: 18
  1274 | CARPINUS bet. 'Fastigiata' | Upright Hornbeam | 5Ltr | 200-250cm | £65.00 | Stock: 20
  14425 | CARPINUS bet. 'Fastigiata' | Upright Hornbeam | 20Ltr | 300-350cm | £80.00 | Stock: 1
  14008 | CARPINUS bet. 'Fastigiata' | Upright Hornbeam | 70Ltr | 450-500cm | £355.00 | Stock: 3
  12376 | CARPINUS bet. 'Frans Fontaine' | Upright hornbeam | 5Ltr | 200-250cm | £34.50 | Stock: 12
  15770 | CARPINUS bet. 'Frans Fontaine' | Upright hornbeam | 5Ltr | 125-150cm | £34.50 | Stock: 23
  1013 | CARPINUS bet. 'Frans Fontaine' | Upright hornbeam | 7.5Ltr | 200-250cm | £37.50 | Stock: 8
  14011 | CARPINUS bet. 'Frans Fontaine' | Upright hornbeam | 50Ltr | 400-450cm | £270.00 | Stock: 2
  15726 | CARPINUS bet. 'Frans Fontaine' | Upright Hornbeam [Feathered] | 50Ltr | 400-450cm | £285.00 | Stock: 2
  11446 | CARPINUS bet. 'Lucas' | Fastigate Hornbeam | 3Ltr | 200-250cm | £31.50 | Stock: 3
  16315 | CARPINUS bet. 'Lucas' | Fastigate Hornbeam | 5Ltr | 90-120cm | £31.50 | Stock: 25
  14426 | CARPINUS bet. 'Lucas' | Fastigate Hornbeam | 25Ltr | 300-350cm | £115.00 | Stock: 3
  1278 | CARPINUS bet. 'Quercifolia' | Oak-leaved Hornbeam | 35Ltr | 300-350cm | £170.00 | Stock: 23
  15771 | CARPINUS bet. 'Rockhampton Red' | Hornbeam | 3Ltr | 100-125cm | £28.50 | Stock: 45
  14428 | CARPINUS bet. 'Rockhampton Red' | Hornbeam | 20Ltr | 250-300cm | £95.00 | Stock: 3
  12241 | CARPINUS betulus | Common Hornbeam | 20Ltr | 200-250cm | £70.00 | Stock: 9
  12231 | CARPINUS betulus | Common Hornbeam | 50Ltr | 450-500cm | £240.00 | Stock: 3
  14010 | CARPINUS betulus | Common Hornbeam | 50Ltr | 500-600cm | £345.00 | Stock: 1
  10104 | CARPINUS betulus | Common Hornbeam | 70Ltr | 350-400cm | £370.00 | Stock: 1
  14009 | CARPINUS betulus | Common Hornbeam | 70Ltr | 500-600cm | £385.00 | Stock: 1
  12457 | CARPINUS betulus | Common Hornbeam | 90Ltr | 500-600cm | £495.00 | Stock: 1
  11757 | CARPINUS betulus | Hornbeam [3/yr pleached] | 90Ltr | 1.8x1.8x1.2m | £495.00 | Stock: 6
  11590 | CARPINUS betulus | Hornbeam [4/yr pleached] | 90Ltr | 1.8x1.8x1.2m | £595.00 | Stock: 4
  11761 | CARPINUS betulus | Hornbeam [5/yr pleached] | 230Ltr | 1.8x2x2m | £650.00 | Stock: 1
  12850 | CARPINUS japonica | Japanese Hornbeam | 3Ltr | 90-120cm | £25.50 | Stock: 30
  11064 | CARPINUS japonica | Japanese Hornbeam | 12Ltr | 175-200cm | £60.00 | Stock: 1
  1282 | CARPINUS turczaninowii | Korean Hornbeam | 12Ltr | 75-100cm | £45.00 | Stock: 1

### CARYA
  16225 | CARYA illinoinensis | Pecan | 3Ltr | 60-90cm | £25.50 | Stock: 28
  16224 | CARYA ovata | Shagbark Hickory | 3Ltr | 30-50cm | £25.50 | Stock: 35

### CASTANEA
  16265 | CASTANEA sativa | Sweet Chestnut | 5Ltr | 120-150cm | £34.50 | Stock: 48
  16265 | CASTANEA sativa | Sweet Chestnut | 5Ltr | 120-150cm | £34.50 | Stock: 48

### CATALPA
  10885 | CATALPA bignonioides | Indian Bean Tree | 5Ltr | 150-200cm | £34.50 | Stock: 3
  10884 | CATALPA bignonioides | Indian Bean Tree | 12Ltr | 200-250cm | £55.00 | Stock: 7
  13952 | CATALPA bignonioides | Indian Bean Tree | 35Ltr | 200-250cm | £145.00 | Stock: 3
  13953 | CATALPA bignonioides | Indian Bean Tree | 35Ltr | 250-300cm | £175.00 | Stock: 2
  12586 | CATALPA bignonioides 'Aurea' | Golden Indian Bean Tree | 12Ltr | 150-200cm | £60.00 | Stock: 8

### CEDRUS
  15774 | CEDRUS atlantica | Atlas Cedar | 3Ltr | 40-60cm | £25.50 | Stock: 26
  1128 | CEDRUS atlantica | Atlas Cedar | 12Ltr | 100-125cm | £55.00 | Stock: 5
  15772 | CEDRUS atlantica 'Glauca' | Blue Atlas Cedar | 3Ltr | 60-90cm | £28.50 | Stock: 21
  12336 | CEDRUS atlantica 'Glauca' | Blue Atlas Cedar | 5Ltr | 90-120cm | £37.50 | Stock: 7
  10742 | CEDRUS deodara | Deodar Cedar | 3Ltr | 75-100cm | £25.50 | Stock: 12
