product_id,name
724454388,EUCALYPTUS gunnii 'France Bleu' / Cider Gum
724463700,FRAXINUS angustifolia ‘Raywood’/ Claret Ash
724466911,MAGNOLIA ‘Galaxy’ / Magnolia
724469570,LIRIODENDRON tulipifera 'Fastigiatum'/ Columnar Tulip Tree
724478551,PRUNUS ser. 'Royal Burgundy' / Flowering Cherry
724481605,QUERCUS buckleyi / Texas Red Oak
724481634,TILIA cordata 'Greenspire ' / Small-Leaved Lime
724894910,MALUS domestica 'Ellison's Orange' / Apple
734108336,ELAEAGNUS × ebbingei / Elaeagnus [pleached]
736374135,SCIADOPITYS verticillata / Umbrella Pine
740035959,QUERCUS velutina / Black Oak
740770270,PRUNUS 'Okame' / Flowering Cherry
750868729,POPULUS alba / White Poplar
750906638,CORNUS mas / Cornelian Cherry [m/s]
761067837,CORDYLINE australis / Cordyline
763620881,PINUS ponderosa / Western Yellow Pine
765731622,PRUNUS Hybrid 'Shogetsu' / Blushing Bride Cherry
765731674,PRUNUS serrulata 'Shimidsu' (Miyako) / Flowering Cherry
765985212,PARROTIA persica / Persian Ironwood Tree [Shrub]
792826293,PRUNUS armeniaca 'Hongaarse' / Hungarian Apricot
792828551,PRUNUS armeniaca 'Bredase' / Apricot
792940752,BETULA nigra / River Birch [m/s]
794247672,PLATANUS x Hispanica ‘Pyramidalis’ / London Plane
794255268,FRAXINUS ornus 'Louisa Lady' / Manna Ash
798800866,ACER carpinifolium / Hornbeam Maple
798809553,CHAMAECYPARIS l. ‘Columnaris’ / Columnar Lawson's Cypress
798815092,ACER plat. 'Emerald Queen' / Norway Maple
798842372,PRUNUS l. ‘Etna’ / Cherry Laurel
799653594,Sorbus aucuparia 'Fastigiata' / Upright Rowan
828442235,CARPINUS betulus / Hornbeam [m/s]
836930532,ULMUS hollandica ‘Wredei’ / Golden Elm
